
@relation house-prices

@attribute num_quartos numeric
@attribute tamanho numeric
@attribute idade numeric
@attribute preco numeric

@data
3, 127, 29, 362043
1, 156, 5, 160677
5, 81, 16, 400543
5, 134, 6, 674659
4, 213, 17, 848535
2, 248, 3, 503747
3, 286, 2, 848338
4, 193, 12, 766743
1, 225, 26, 210537
2, 181, 30, 343791
1, 178, 10, 165435
3, 70, 21, 201180
5, 263, 4, 1318269
3, 78, 3, 233151
5, 255, 29, 1250929
1, 284, 27, 263164
4, 205, 2, 810182
2, 140, 21, 268620
3, 164, 18, 475596
1, 290, 6, 288575
4, 86, 9, 343926
3, 129, 2, 385283
2, 90, 16, 179621
1, 70, 2, 69368
5, 171, 9, 853992
1, 286, 19, 273304
1, 285, 8, 274474
1, 150, 25, 134055
4, 181, 14, 707570
5, 88, 16, 425781
4, 73, 4, 295338
5, 260, 30, 1294839
3, 91, 17, 267598
1, 87, 17, 83423
5, 230, 19, 1148428
1, 195, 26, 186804
1, 261, 11, 255887
5, 134, 15, 667776
1, 111, 12, 111580
5, 114, 19, 559415
5, 76, 25, 359761
2, 240, 4, 477680
1, 232, 23, 221688
1, 200, 11, 184687
2, 179, 23, 356021
2, 65, 8, 128308
3, 121, 25, 356464
2, 113, 2, 220442
5, 247, 6, 1234316
3, 274, 16, 816585
4, 185, 10, 739984
4, 227, 23, 897359
1, 288, 27, 279379
3, 55, 6, 156879
5, 196, 8, 970247
4, 172, 9, 677900
2, 82, 8, 169687
2, 129, 14, 253021
3, 199, 18, 584022
4, 55, 27, 203467
2, 113, 17, 214927
4, 171, 0, 683251
2, 198, 30, 374448
1, 216, 13, 201555
3, 133, 2, 401326
1, 239, 30, 222074
1, 90, 16, 78433
2, 265, 12, 518959
3, 94, 8, 275328
5, 124, 23, 609369
5, 159, 6, 796587
2, 258, 19, 513247
2, 176, 9, 339460
2, 286, 29, 561632
1, 76, 4, 76604
1, 71, 16, 72933
1, 187, 29, 182275
5, 59, 23, 277217
4, 62, 29, 230228
2, 218, 25, 418236
3, 285, 19, 846146
2, 57, 9, 105311
4, 255, 28, 1010557
2, 233, 28, 448246
4, 90, 17, 342437
2, 76, 10, 152007
3, 200, 18, 590772
4, 131, 23, 506467
5, 201, 17, 993012
4, 298, 1, 1200382
1, 201, 22, 181373
3, 124, 11, 357538
4, 266, 0, 1062072
3, 289, 24, 848532
2, 55, 17, 110550
2, 242, 18, 480259
5, 126, 27, 625362
4, 100, 6, 400839
5, 51, 14, 239669
3, 150, 13, 452797
1, 123, 1, 116255
4, 258, 29, 1007820
3, 287, 14, 845745
2, 198, 23, 380334
2, 188, 13, 370600
3, 276, 19, 809084
2, 175, 22, 337221
2, 160, 1, 322514
4, 75, 12, 295776
4, 192, 9, 770385
5, 135, 25, 670903
4, 146, 24, 568378
2, 99, 0, 204306
3, 217, 12, 642231
2, 96, 27, 170084
4, 213, 21, 846534
2, 154, 21, 292210
4, 243, 15, 966349
4, 104, 5, 421811
3, 236, 24, 700478
1, 291, 20, 276512
5, 127, 13, 632224
1, 182, 19, 182435
5, 146, 1, 728208
1, 72, 24, 68255
2, 254, 6, 502583
2, 266, 17, 524740
4, 88, 15, 335322
4, 132, 8, 526710
2, 96, 2, 182649
1, 263, 14, 258448
4, 244, 22, 972257
5, 248, 1, 1240404
3, 298, 20, 889017
2, 65, 21, 125015
5, 260, 28, 1291196
5, 240, 9, 1203825
4, 270, 18, 1068267
5, 265, 25, 1303237
1, 92, 19, 89799
4, 248, 3, 996619
2, 189, 17, 361444
5, 147, 12, 734468
3, 170, 11, 499482
5, 204, 22, 1009134
2, 226, 21, 448883
3, 52, 28, 150535
1, 222, 14, 222018
2, 190, 10, 381002
2, 235, 5, 459296
5, 170, 2, 857587
5, 117, 6, 581150
5, 221, 13, 1093354
2, 89, 25, 162498
4, 240, 30, 953207
4, 116, 22, 455986
4, 237, 28, 937375
1, 136, 18, 119510
3, 269, 2, 799708
2, 175, 21, 347474
3, 241, 4, 723801
3, 199, 10, 589914
4, 297, 6, 1185329
2, 275, 13, 534501
3, 75, 22, 216309
1, 111, 7, 116713
4, 283, 18, 1131217
2, 272, 11, 528944
2, 144, 17, 289269
1, 189, 8, 182006
2, 211, 1, 422244
1, 121, 6, 121431
1, 235, 17, 224063
2, 261, 15, 506111
5, 104, 21, 503093
4, 289, 9, 1144645
3, 209, 2, 617413
3, 148, 12, 444700
4, 97, 30, 366751
3, 263, 0, 789686
3, 133, 14, 395522
5, 267, 20, 1333521
5, 98, 25, 469241
4, 122, 16, 474551
3, 61, 17, 167411
2, 244, 9, 475628
1, 67, 13, 69959
3, 67, 17, 182737
2, 201, 11, 396520
5, 112, 17, 552168
5, 176, 1, 878095
3, 252, 29, 733957
2, 139, 7, 272831
5, 271, 5, 1360661
4, 138, 2, 555482
1, 230, 0, 224663
4, 234, 11, 936291
1, 214, 8, 219699
3, 208, 5, 618397
2, 278, 2, 561062
5, 213, 7, 1064812
5, 158, 4, 787653
5, 182, 18, 910922
5, 199, 19, 993841
4, 208, 9, 831643
4, 287, 4, 1149320
3, 220, 17, 642970
2, 204, 30, 394405
2, 58, 19, 115090
5, 273, 19, 1346270
2, 100, 28, 195863
5, 283, 18, 1408356
2, 163, 11, 320665
3, 250, 5, 741786
1, 145, 30, 121116
5, 125, 5, 631488
4, 236, 6, 948612
5, 178, 22, 883509
1, 166, 26, 157646
1, 157, 12, 160358
5, 299, 16, 1492544
2, 145, 25, 277904
3, 201, 15, 596300
3, 226, 27, 665801
3, 194, 16, 571551
1, 225, 12, 220077
5, 117, 24, 576874
4, 295, 20, 1174335
2, 245, 1, 487366
3, 242, 4, 721906
2, 71, 13, 139771
3, 132, 13, 385653
3, 279, 1, 830540
4, 195, 13, 770967
4, 133, 26, 525438
3, 194, 18, 563410
4, 209, 4, 827289
1, 123, 10, 112709
5, 142, 9, 711423
4, 186, 28, 723347
1, 269, 7, 262451
5, 128, 25, 625154
2, 293, 17, 575199
3, 140, 29, 414224
4, 56, 0, 228844
3, 256, 12, 755218
1, 249, 8, 242830
5, 122, 10, 613830
1, 93, 22, 74175
3, 221, 15, 660164
3, 213, 29, 633067
2, 250, 28, 482774
1, 219, 14, 221549
3, 146, 26, 417463
2, 173, 13, 333419
4, 180, 3, 720230
4, 65, 2, 268618
3, 74, 7, 218125
2, 77, 14, 152558
5, 202, 6, 1008539
5, 155, 0, 769893
3, 242, 20, 716381
5, 140, 21, 687056
4, 239, 1, 958061
2, 218, 29, 426570
4, 163, 25, 638189
1, 118, 22, 102135
5, 143, 10, 712628
3, 281, 11, 836413
1, 70, 9, 67774
5, 72, 1, 356033
2, 298, 19, 586173
2, 171, 23, 333973
1, 184, 2, 181143
2, 257, 6, 504480
4, 188, 2, 758126
4, 73, 0, 299369
1, 261, 23, 255352
2, 242, 17, 477108
5, 274, 3, 1368108
1, 271, 2, 260918
5, 133, 20, 662619
3, 207, 1, 628582
1, 261, 5, 257727
1, 224, 9, 211911
1, 126, 6, 113446
4, 191, 12, 755140
3, 203, 6, 603944
1, 278, 5, 270341
5, 242, 4, 1208221
1, 89, 19, 73924
4, 108, 7, 435575
5, 279, 1, 1386680
5, 202, 27, 996996
3, 214, 16, 639614
2, 172, 25, 341343
4, 146, 19, 579402
2, 152, 28, 283681
4, 287, 4, 1149425
1, 68, 2, 73293
5, 282, 30, 1390310
3, 54, 5, 150448
2, 281, 7, 558678
1, 223, 14, 216707
3, 70, 10, 205017
3, 90, 14, 265475
2, 241, 19, 466535
4, 180, 17, 720346
4, 95, 14, 368511
4, 50, 23, 188123
5, 292, 9, 1447583
5, 218, 17, 1081820
3, 243, 11, 723823
1, 264, 18, 260599
5, 62, 21, 308908
5, 125, 21, 604509
4, 156, 24, 612147
2, 169, 1, 335813
3, 216, 8, 646158
3, 61, 3, 179727
5, 51, 20, 243584
1, 248, 28, 243283
1, 101, 17, 90984
1, 238, 16, 237609
3, 70, 14, 199999
5, 209, 0, 1035141
4, 76, 4, 300743
5, 278, 28, 1384078
2, 175, 5, 354398
4, 124, 7, 483586
1, 293, 3, 294970
1, 68, 8, 60079
1, 105, 16, 99396
1, 274, 3, 266157
2, 85, 12, 155041
1, 182, 2, 181499
1, 283, 26, 275774
1, 99, 2, 93603
1, 104, 1, 99869
3, 76, 9, 229523
3, 152, 14, 452599
3, 277, 30, 811889
2, 181, 26, 346317
2, 181, 16, 351262
3, 101, 28, 289648
1, 287, 6, 290716
2, 76, 3, 154314
1, 80, 13, 70553
1, 185, 23, 182096
3, 156, 1, 459569
5, 204, 14, 1011974
2, 75, 12, 153825
2, 208, 19, 406040
4, 278, 28, 1105536
1, 139, 6, 133013
2, 283, 17, 562014
4, 146, 1, 581632
4, 168, 5, 669689
4, 254, 20, 1005747
1, 291, 30, 279590
1, 155, 21, 150048
3, 295, 8, 871415
2, 120, 10, 237125
3, 282, 6, 836682
1, 110, 22, 105397
2, 115, 4, 229976
1, 202, 18, 185141
1, 102, 17, 97790
2, 142, 18, 276359
1, 145, 25, 123788
5, 86, 2, 425477
2, 147, 28, 282626
3, 299, 29, 882632
3, 298, 26, 874667
5, 177, 24, 864333
2, 66, 6, 123088
2, 282, 7, 568003
3, 201, 11, 601717
5, 60, 18, 290717
1, 292, 9, 295891
1, 131, 29, 121560
3, 195, 1, 577882
3, 62, 15, 175964
5, 157, 18, 784196
4, 90, 19, 343992
4, 184, 8, 732345
1, 98, 24, 88608
4, 218, 8, 862618
2, 131, 23, 252175
1, 249, 28, 244882
2, 296, 15, 585764
2, 118, 11, 237331
1, 160, 13, 145454
1, 199, 1, 195702
5, 76, 11, 383423
3, 287, 9, 861741
3, 261, 14, 766376
1, 222, 9, 224107
3, 215, 27, 627490
5, 241, 28, 1190397
4, 205, 21, 810847
4, 79, 10, 318520
5, 66, 27, 306540
2, 79, 4, 156155
4, 187, 11, 744825
5, 88, 29, 415679
4, 136, 20, 528168
5, 183, 18, 911542
3, 135, 6, 397243
2, 250, 19, 498727
2, 119, 9, 229100
2, 55, 12, 108590
1, 154, 21, 142375
3, 241, 23, 708083
3, 174, 26, 508085
3, 128, 11, 380456
5, 57, 24, 274680
4, 72, 22, 276962
3, 215, 30, 631307
2, 52, 29, 80946
3, 103, 1, 315352
5, 110, 28, 540800
3, 50, 6, 148222
2, 56, 9, 103525
1, 179, 21, 165832
5, 276, 15, 1368215
5, 73, 0, 360707
3, 145, 20, 430341
3, 204, 9, 603387
1, 288, 18, 282540
2, 228, 23, 441893
3, 115, 6, 332903
1, 195, 16, 182963
5, 176, 20, 862258
1, 164, 11, 158566
3, 192, 20, 569826
2, 267, 0, 536103
5, 148, 29, 735226
1, 103, 29, 97243
4, 230, 30, 895618
4, 204, 13, 804360
2, 261, 12, 514502
1, 92, 2, 98849
4, 168, 14, 657267
2, 225, 1, 441347
4, 275, 19, 1082466
5, 51, 15, 250798
5, 115, 4, 575253
4, 98, 25, 371708
2, 140, 26, 270751
4, 79, 9, 302278
3, 215, 11, 641083
3, 167, 13, 486058
2, 106, 3, 204160
1, 130, 19, 111390
1, 130, 12, 118010
3, 100, 2, 305278
5, 190, 2, 952569
5, 52, 20, 246992
1, 193, 6, 184530
2, 95, 21, 189345
2, 289, 0, 580734
2, 283, 11, 552274
2, 254, 29, 496718
5, 62, 29, 286065
5, 144, 18, 708097
4, 54, 11, 202285
2, 222, 9, 449493
2, 237, 9, 467921
3, 197, 6, 589749
5, 258, 26, 1275288
3, 117, 11, 345632
4, 88, 18, 340551
5, 271, 6, 1353281
5, 65, 17, 316613
1, 178, 10, 171263
5, 136, 14, 677986
4, 159, 10, 628919
3, 125, 14, 364646
3, 168, 2, 504574
1, 115, 5, 122032
2, 51, 30, 81529
2, 283, 19, 556711
3, 290, 18, 859438
3, 110, 7, 335992
5, 211, 11, 1049046
3, 168, 4, 503734
5, 77, 20, 374703
4, 74, 21, 283077
4, 71, 9, 286587
1, 75, 21, 68576
1, 73, 25, 51102
1, 80, 2, 76912
4, 158, 2, 637733
4, 142, 2, 558336
2, 109, 4, 215314
4, 74, 1, 304715
1, 117, 7, 107108
4, 295, 6, 1186340
1, 142, 14, 126817
4, 60, 0, 240125
3, 122, 7, 362014
4, 127, 22, 500179
1, 186, 30, 163525
3, 63, 19, 186317
4, 121, 1, 475087
5, 279, 13, 1381565
3, 181, 9, 544696
3, 298, 29, 881253
3, 124, 28, 355852
3, 87, 29, 246958
1, 264, 21, 263141
2, 173, 14, 335019
4, 270, 30, 1058459
1, 77, 1, 81493
3, 94, 14, 281366
1, 149, 27, 143745
4, 70, 2, 277150
5, 147, 21, 717583
3, 228, 19, 680175
1, 154, 24, 135926
3, 96, 5, 290579
2, 182, 17, 362754
2, 214, 16, 420651
3, 59, 15, 173122
1, 215, 0, 209013
4, 145, 6, 578958
2, 212, 12, 413672
1, 98, 20, 93506
2, 273, 16, 531723
5, 220, 7, 1098909
1, 247, 18, 242024
2, 162, 12, 322045
1, 69, 30, 53923
2, 297, 30, 573708
3, 297, 14, 890982
1, 226, 28, 217571
2, 206, 19, 394776
1, 244, 4, 244385
2, 187, 26, 362779
2, 152, 19, 290467
1, 266, 28, 245465
4, 265, 19, 1045033
2, 202, 28, 380495
3, 228, 18, 683622
5, 101, 5, 501623
1, 217, 6, 206423
1, 262, 14, 251463
1, 273, 6, 275549
5, 182, 21, 906827
1, 220, 14, 220008
2, 298, 17, 594736
5, 257, 20, 1273863
5, 76, 17, 368958
4, 245, 6, 986008
5, 232, 24, 1144061
4, 178, 9, 706645
3, 160, 3, 474841
1, 222, 17, 214009
4, 88, 17, 339310
5, 296, 9, 1466447
4, 113, 19, 434404
5, 140, 8, 699580
3, 157, 16, 453259
3, 187, 28, 556200
1, 292, 2, 283405
2, 62, 5, 117847
4, 156, 12, 612998
5, 79, 20, 384776
1, 99, 13, 92643
3, 81, 17, 241294
4, 238, 9, 952011
1, 100, 17, 82101
2, 79, 3, 166298
1, 153, 12, 154288
4, 293, 13, 1163363
4, 198, 19, 775913
4, 231, 22, 906470
3, 205, 8, 613772
2, 98, 8, 193063
4, 156, 7, 611823
4, 63, 4, 247621
1, 201, 12, 186415
1, 153, 27, 141794
5, 191, 24, 951845
1, 188, 18, 184440
5, 90, 10, 450384
5, 95, 0, 479481
1, 254, 11, 251882
3, 282, 7, 848864
4, 206, 10, 809553
1, 225, 13, 222990
4, 68, 28, 255510
5, 167, 25, 829057
2, 249, 10, 487566
5, 200, 24, 987372
1, 193, 22, 185928
2, 95, 15, 181832
5, 296, 8, 1475789
3, 88, 30, 247514
3, 61, 25, 175979
3, 185, 10, 550479
5, 171, 5, 855579
4, 111, 26, 439100
3, 71, 22, 203573
2, 128, 9, 257543
4, 151, 0, 594137
1, 91, 7, 96726
5, 292, 11, 1444919
2, 136, 1, 275313
4, 290, 2, 1149793
1, 72, 29, 53942
5, 100, 7, 498933
3, 232, 29, 679615
3, 226, 19, 667067
5, 300, 10, 1491498
4, 175, 13, 695629
1, 214, 26, 203714
1, 133, 3, 130136
2, 299, 27, 575519
3, 143, 25, 413127
4, 116, 8, 458543
1, 287, 20, 273250
5, 291, 10, 1450274
4, 249, 5, 993675
3, 154, 22, 451984
5, 157, 14, 776963
3, 61, 21, 163205
4, 55, 15, 203516
2, 248, 2, 502273
1, 92, 6, 91052
3, 224, 4, 671281
4, 217, 3, 858196
2, 159, 22, 304680
5, 103, 2, 511596
3, 149, 27, 437322
1, 220, 19, 208012
1, 162, 6, 161040
2, 203, 15, 398108
4, 201, 4, 798644
3, 77, 13, 233537
4, 238, 19, 950559
1, 107, 29, 99343
4, 103, 29, 406203
1, 79, 23, 70737
1, 265, 26, 244406
4, 91, 18, 359912
1, 284, 30, 272344
4, 72, 19, 271856
3, 59, 3, 178809
1, 295, 29, 288755
2, 195, 17, 376345
1, 266, 26, 251081
2, 255, 6, 505014
4, 94, 10, 371679
3, 70, 10, 210177
3, 55, 3, 168656
2, 70, 29, 126640
5, 240, 29, 1181177
5, 65, 7, 326479
4, 64, 4, 254927
5, 58, 11, 286915
3, 50, 7, 139459
2, 298, 1, 598783
1, 181, 19, 167806
3, 159, 14, 474888
3, 132, 28, 377052
5, 216, 16, 1081075
5, 105, 6, 531726
3, 217, 30, 629850
4, 234, 15, 933999
2, 197, 12, 396361
3, 237, 28, 688158
4, 191, 27, 740918
2, 264, 10, 515407
3, 289, 12, 866637
4, 193, 23, 751124
3, 265, 7, 783801
3, 180, 29, 531424
4, 280, 14, 1114118
2, 168, 9, 339619
2, 90, 29, 166675
4, 205, 3, 810748
5, 209, 17, 1028518
5, 151, 0, 755783
1, 203, 28, 197077
3, 111, 8, 330444
2, 111, 27, 211086
4, 159, 28, 627833
3, 180, 22, 521487
5, 79, 28, 377602
2, 120, 30, 229497
4, 79, 16, 315025
2, 208, 2, 420315
1, 104, 2, 109740
4, 297, 19, 1180303
2, 56, 6, 110270
2, 276, 24, 531661
2, 75, 26, 138023
5, 218, 7, 1085633
2, 279, 21, 549207
3, 202, 12, 608775
1, 109, 19, 107643
3, 137, 30, 398966
2, 264, 6, 520453
2, 163, 25, 307929
1, 170, 2, 161525
5, 193, 0, 966775
3, 167, 8, 492484
5, 274, 13, 1365142
5, 160, 10, 793926
2, 71, 19, 123016
2, 79, 2, 155464
4, 121, 12, 469675
4, 165, 5, 648882
2, 207, 10, 408664
2, 182, 20, 352989
3, 196, 7, 591482
2, 155, 11, 294830
5, 271, 1, 1345122
1, 267, 27, 250102
1, 87, 3, 87927
1, 185, 20, 165022
4, 276, 8, 1091965
4, 290, 18, 1149309
2, 226, 5, 457729
2, 148, 1, 292805
2, 257, 26, 505918
4, 224, 2, 891871
5, 103, 15, 506831
3, 251, 15, 748542
2, 234, 25, 449565
4, 250, 21, 995020
4, 221, 22, 864120
1, 266, 12, 255475
5, 92, 29, 440448
3, 163, 7, 488687
2, 218, 19, 422036
4, 111, 5, 435099
5, 134, 4, 658255
5, 152, 12, 756648
1, 163, 27, 150473
5, 67, 3, 334261
1, 245, 20, 241194
3, 143, 18, 415960
4, 128, 7, 498574
4, 233, 19, 919790
4, 234, 18, 924710
4, 121, 11, 479190
4, 192, 22, 763741
4, 209, 16, 822328
1, 141, 16, 140975
4, 89, 17, 344003
3, 73, 18, 201619
1, 73, 27, 50452
3, 123, 17, 366801
4, 168, 6, 668059
3, 54, 5, 166134
2, 252, 21, 501822
2, 209, 1, 412236
4, 238, 11, 941450
2, 235, 24, 457739
2, 52, 24, 96024
2, 99, 1, 207270
3, 279, 10, 829134
4, 161, 11, 644606
3, 278, 17, 819269
4, 151, 4, 592436
3, 161, 0, 482629
5, 100, 14, 501156
1, 110, 20, 99398
4, 114, 25, 449546
1, 213, 5, 215135
1, 75, 6, 77895
4, 82, 30, 315642
5, 277, 26, 1366851
2, 256, 30, 506642
1, 194, 23, 188838
5, 74, 21, 359595
3, 118, 13, 345352
3, 171, 24, 510158
5, 267, 26, 1324394
2, 103, 4, 194281
3, 62, 10, 181727
3, 92, 8, 277827
5, 182, 8, 906963
3, 132, 14, 384309
2, 59, 10, 121669
1, 60, 8, 50061
5, 149, 28, 729126
4, 130, 24, 505956
2, 109, 14, 215105
4, 242, 13, 958983
1, 183, 18, 172929
4, 117, 6, 471599
5, 101, 27, 494009
5, 247, 27, 1223146
3, 91, 12, 265447
2, 244, 15, 483441
1, 165, 25, 152263
4, 300, 5, 1203249
4, 124, 23, 477951
5, 128, 22, 627231
1, 99, 25, 77220
1, 54, 11, 43111
4, 91, 10, 356428
4, 215, 27, 840279
4, 175, 2, 691036
5, 176, 26, 866063
4, 105, 12, 404991
5, 141, 2, 698953
4, 248, 18, 985068
2, 291, 17, 582896
4, 139, 2, 560215
4, 175, 2, 695911
1, 66, 30, 56361
1, 203, 30, 192747
1, 202, 15, 198570
1, 65, 29, 41443
2, 162, 9, 313659
4, 253, 2, 1014639
1, 294, 20, 292228
5, 287, 25, 1432184
1, 96, 10, 95507
1, 120, 19, 119858
1, 272, 15, 255527
5, 61, 27, 286603
1, 160, 5, 157068
3, 178, 5, 530250
3, 268, 27, 788922
4, 247, 24, 969416
2, 50, 23, 79181
3, 288, 18, 852978
2, 87, 19, 168973
3, 298, 22, 889553
4, 245, 12, 982809
4, 232, 25, 922144
2, 187, 8, 370306
1, 109, 18, 92770
4, 148, 25, 572412
5, 163, 29, 807891
3, 283, 0, 846837
5, 104, 22, 509785
3, 237, 21, 704019
4, 245, 12, 971717
4, 226, 25, 895697
1, 276, 1, 268552
1, 97, 19, 90363
2, 284, 8, 561802
3, 293, 7, 875292
3, 196, 2, 590824
4, 176, 28, 699595
2, 173, 27, 340777
1, 259, 23, 252232
3, 53, 15, 161118
3, 193, 13, 570443
3, 220, 25, 648175
2, 129, 13, 252457
5, 270, 4, 1344124
3, 61, 27, 168426
3, 131, 5, 386606
5, 111, 18, 544186
4, 220, 5, 874300
3, 207, 4, 614089
1, 262, 25, 245703
4, 263, 4, 1055991
1, 280, 10, 270705
1, 60, 10, 63474
4, 266, 28, 1059094
1, 119, 15, 104198
2, 60, 15, 121713
3, 77, 21, 223713
2, 239, 18, 468096
3, 61, 4, 189687
5, 71, 15, 342263
1, 170, 19, 161789
1, 284, 23, 282190
1, 86, 14, 78333
1, 173, 9, 164283
2, 145, 5, 289621
4, 113, 26, 442440
2, 254, 6, 503589
2, 263, 1, 516955
5, 291, 15, 1452352
2, 123, 13, 233212
1, 92, 14, 93717
5, 158, 21, 776121
5, 277, 17, 1386361
2, 58, 20, 114102
5, 57, 14, 286964
3, 206, 12, 608541
4, 293, 20, 1166557
5, 84, 30, 399645
3, 159, 16, 470053
2, 250, 19, 496387
4, 55, 11, 207496
2, 271, 19, 530534
4, 237, 20, 941201
